source,target,rating
13,16,8
13,10,8
21,1,8
21,10,8
21,8,9
10,1,8
10,21,8
10,25,10
13,1,8
1,17,9
17,1,9
61,20,8
71,1,8
119,1,10
119,127,10
1,2,8
127,119,10
2,3,8
1,7,9
2,1,8
39,2,8
33,1,8
237,202,10
2,62,8
80,81,8
60,257,10
149,25,10
279,60,8
283,284,10
284,283,10
21,93,8
93,21,8
313,45,10
57,7,8
4,202,8
330,7,10
342,395,10
410,201,10
198,2,8
219,1,10
397,278,8
51,451,10
451,51,10
486,1,10
21,490,8
64,104,10
132,7,10
111,499,10
499,111,10
490,21,8
520,484,10
144,202,8
202,144,8
300,529,10
529,300,10
571,570,10
570,571,10
581,159,10
588,587,10
602,159,10
200,623,10
484,304,10
628,605,8
623,200,10
113,7,8
395,342,10
636,635,10
650,651,10
651,650,10
691,523,10
678,717,9
184,720,10
721,64,10
720,184,10
717,678,9
167,2,8
167,245,8
167,223,8
167,39,8
39,167,8
39,223,8
39,245,8
39,1,8
747,732,10
64,770,10
770,64,10
778,732,10
780,814,10
814,780,10
353,1,10
9,1,10
61,109,10
753,840,8
769,847,10
847,769,9
824,623,8
911,908,10
911,548,10
911,832,10
923,920,10
922,894,10
832,920,10
198,534,10
977,610,10
977,923,10
249,241,8
418,489,9
489,418,9
1012,554,10
687,908,10
908,1013,10
832,25,10
1013,908,10
4,13,8
1024,832,8
1023,923,10
1027,832,9
832,241,10
13,4,8
950,678,8
540,475,10
353,1046,8
920,832,10
922,606,10
19,7,9
19,1,9
1014,777,10
1026,908,10
533,1068,10
533,530,10
1074,733,8
760,1076,10
606,908,10
777,1014,10
1092,908,10
64,1094,10
1094,64,10
1092,492,10
492,908,10
576,104,10
1109,923,10
1065,1119,10
922,953,10
922,1122,10
1122,922,10
1125,882,10
1133,710,10
710,1133,10
1013,1092,10
1092,1013,10
1095,1092,10
1095,908,10
1139,1140,10
1,197,8
1,60,8
1,41,8
1,39,8
1,6,8
353,134,10
484,593,10
270,1174,10
198,959,10
959,198,10
882,7,10
500,1191,10
768,1196,8
1196,768,8
1191,500,10
1232,923,10
1084,1100,10
1100,1084,10
908,1257,10
1257,908,10
1260,1037,10
1260,1261,10
1260,1166,10
1257,4,9
1174,270,10
1285,923,10
1217,775,9
1291,1277,10
1277,1291,10
540,626,10
626,540,10
1261,1260,10
997,1217,8
1217,997,8
468,566,10
1098,7,10
1119,1065,10
911,1326,10
1326,911,10
1268,1094,10
113,1340,10
1094,1268,9
283,7,10
1358,518,10
518,1358,10
708,1363,8
41,7,9
1267,1328,10
1328,1267,10
1363,708,8
1381,1368,10
1267,921,10
786,25,10
1352,1,10
1384,1201,10
1385,882,10
